Date,Open,High,Low,Close,Adj Close,Volume
2011-05-31,3.613750,3.684580,3.559590,3.684580,3.684580,6931560
2011-06-01,3.668330,3.683750,3.439170,3.449170,3.449170,11569008
2011-06-02,3.464580,3.502080,3.411970,3.469170,3.469170,5846808
2011-06-03,3.347500,3.423750,3.300000,3.311670,3.311670,10184592
2011-06-06,3.296250,3.338330,3.227860,3.231670,3.231670,6714096
2011-06-07,3.260420,3.294120,3.207080,3.212920,3.212920,7039560
2011-06-08,3.190830,3.207500,3.116670,3.143750,3.143750,11689368
2011-06-09,3.145830,3.202500,3.115700,3.157500,3.157500,5565240
2011-06-10,3.114580,3.135830,3.007920,3.012500,3.012500,6962328
2011-06-13,3.026250,3.060830,2.984170,3.014580,3.014580,7386816
2011-06-14,3.086250,3.152920,3.081670,3.126670,3.126670,7313592
2011-06-15,3.041250,3.096250,2.935420,2.955830,2.955830,11198808
2011-06-16,2.957500,2.985420,2.842080,2.914580,2.914580,10665504
2011-06-17,2.997500,3.008330,2.867540,2.892920,2.892920,11245704
2011-06-20,2.864580,2.960830,2.864580,2.931250,2.931250,5942904
2011-06-21,2.969170,3.132500,2.929580,3.126670,3.126670,9308784
2011-06-22,3.092080,3.139170,3.054170,3.056250,3.056250,7803216
2011-06-23,2.955830,3.145000,2.928330,3.140830,3.140830,14514096
2011-06-24,3.096250,3.103750,2.960830,2.975420,2.975420,11755152
2011-06-27,2.989580,3.160830,2.972500,3.120000,3.120000,9356472
2011-06-28,3.142500,3.261630,3.130830,3.260000,3.260000,7222512
2011-06-29,3.288750,3.316670,3.229170,3.300830,3.300830,8550576
2011-06-30,3.337080,3.436250,3.329580,3.426250,3.426250,11366064
2011-07-01,3.442920,3.598330,3.407710,3.585000,3.585000,9588696
2011-07-05,3.597080,3.648330,3.574170,3.636670,3.636670,9184080
2011-07-06,3.627500,3.690830,3.591670,3.675420,3.675420,9977592
2011-07-07,3.755420,3.856250,3.742920,3.824170,3.824170,13410024
2011-07-08,3.727080,3.793750,3.666330,3.792500,3.792500,18253464
2011-07-11,3.672500,3.730420,3.549170,3.589170,3.589170,16928856
2011-07-12,3.584170,3.607500,3.496670,3.501670,3.501670,12633672
2011-07-13,3.583750,3.655000,3.511150,3.548330,3.548330,14410944
2011-07-14,3.579580,3.625420,3.385830,3.426250,3.426250,15593112
2011-07-15,3.544170,3.562500,3.470830,3.562500,3.562500,12048288
2011-07-18,3.509170,3.549170,3.404170,3.503750,3.503750,10584744
2011-07-19,3.609170,3.756250,3.608330,3.750830,3.750830,18110496
